"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"서울특별시","합계","계","","392351","422776","448251","494926",
"서울특별시","합계","65~79세","","291042","310466","320570","356556",
"서울특별시","합계","80세 이상","","101309","112310","127681","138370",
"서울특별시","국민기초생활보장 수급권자","계","","110183","122508","129275","142005",
"서울특별시","국민기초생활보장 수급권자","65~79세","","76181","83607","87834","96231",
"서울특별시","국민기초생활보장 수급권자","80세 이상","","34002","38901","41441","45774",
"서울특별시","저소득노인","계","","14471","13645","12775","15543",
"서울특별시","저소득노인","65~79세","","8250","8068","7236","8916",
"서울특별시","저소득노인","80세 이상","","6221","5577","5539","6627",
"서울특별시","일   반","계","","267697","286623","306201","337378",
"서울특별시","일   반","65~79세","","206611","218791","225500","251409",
"서울특별시","일   반","80세 이상","","61086","67832","80701","85969",
"종로구","합계","계","","8573","8998","11178","9076",
"종로구","합계","65~79세","","6219","6372","7784","6296",
"종로구","합계","80세 이상","","2354","2626","3394","2780",
"종로구","국민기초생활보장 수급권자","계","","1839","2000","2231","2363",
"종로구","국민기초생활보장 수급권자","65~79세","","1356","1438","1581","1711",
"종로구","국민기초생활보장 수급권자","80세 이상","","483","562","650","652",
"종로구","저소득노인","계","","337","349","403","371",
"종로구","저소득노인","65~79세","","197","208","216","214",
"종로구","저소득노인","80세 이상","","140","141","187","157",
"종로구","일   반","계","","6397","6649","8544","6342",
"종로구","일   반","65~79세","","4666","4726","5987","4371",
"종로구","일   반","80세 이상","","1731","1923","2557","1971",
"사직동","합계","계","","490","513","556","510",
"사직동","합계","65~79세","","320","329","354","317",
"사직동","합계","80세 이상","","170","184","202","193",
"사직동","국민기초생활보장 수급권자","계","","60","56","54","69",
"사직동","국민기초생활보장 수급권자","65~79세","","41","39","35","41",
"사직동","국민기초생활보장 수급권자","80세 이상","","19","17","19","28",
"사직동","저소득노인","계","","10","10","14","21",
"사직동","저소득노인","65~79세","","6","6","5","21",
"사직동","저소득노인","80세 이상","","4","4","9","-",
"사직동","일   반","계","","420","447","488","420",
"사직동","일   반","65~79세","","273","284","314","255",
"사직동","일   반","80세 이상","","147","163","174","165",
"삼청동","합계","계","","189","213","193","177",
"삼청동","합계","65~79세","","126","146","121","115",
"삼청동","합계","80세 이상","","63","67","72","62",
"삼청동","국민기초생활보장 수급권자","계","","17","19","17","20",
"삼청동","국민기초생활보장 수급권자","65~79세","","12","14","12","12",
"삼청동","국민기초생활보장 수급권자","80세 이상","","5","5","5","8",
"삼청동","저소득노인","계","","6","4","10","6",
"삼청동","저소득노인","65~79세","","1","3","2","1",
"삼청동","저소득노인","80세 이상","","5","1","8","5",
"삼청동","일   반","계","","166","190","166","151",
"삼청동","일   반","65~79세","","113","129","107","102",
"삼청동","일   반","80세 이상","","53","61","59","49",
"부암동","합계","계","","418","459","458","438",
"부암동","합계","65~79세","","293","315","295","298",
"부암동","합계","80세 이상","","125","144","163","140",
"부암동","국민기초생활보장 수급권자","계","","61","58","44","56",
"부암동","국민기초생활보장 수급권자","65~79세","","40","38","24","32",
"부암동","국민기초생활보장 수급권자","80세 이상","","21","20","20","24",
"부암동","저소득노인","계","","20","16","12","14",
"부암동","저소득노인","65~79세","","13","10","3","5",
"부암동","저소득노인","80세 이상","","7","6","9","9",
"부암동","일   반","계","","337","385","402","368",
"부암동","일   반","65~79세","","240","267","268","261",
"부암동","일   반","80세 이상","","97","118","134","107",
"평창동","합계","계","","703","794","834","799",
"평창동","합계","65~79세","","456","508","522","476",
"평창동","합계","80세 이상","","247","286","312","323",
"평창동","국민기초생활보장 수급권자","계","","48","56","59","61",
"평창동","국민기초생활보장 수급권자","65~79세","","31","35","37","37",
"평창동","국민기초생활보장 수급권자","80세 이상","","17","21","22","24",
"평창동","저소득노인","계","","22","22","35","31",
"평창동","저소득노인","65~79세","","10","12","17","17",
"평창동","저소득노인","80세 이상","","12","10","18","14",
"평창동","일   반","계","","633","716","740","707",
"평창동","일   반","65~79세","","415","461","468","422",
"평창동","일   반","80세 이상","","218","255","272","285",
"무악동","합계","계","","291","327","436","340",
"무악동","합계","65~79세","","208","214","257","214",
"무악동","합계","80세 이상","","83","113","179","126",
"무악동","국민기초생활보장 수급권자","계","","59","88","81","103",
"무악동","국민기초생활보장 수급권자","65~79세","","35","55","43","74",
"무악동","국민기초생활보장 수급권자","80세 이상","","24","33","38","29",
"무악동","저소득노인","계","","11","20","32","9",
"무악동","저소득노인","65~79세","","5","6","14","2",
"무악동","저소득노인","80세 이상","","6","14","18","7",
"무악동","일   반","계","","221","219","323","228",
