시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,종로구,일반,남자,65세미만,33,0,4,5,8,0,0,4,5,1
서울,종로구,일반,남자,65-69세,55,3,3,8,11,0,0,11,2,3
서울,종로구,일반,남자,70-74세,68,2,7,12,14,2,0,7,2,1
서울,종로구,일반,남자,75-79세,110,6,9,23,26,5,0,7,3,0
서울,종로구,일반,남자,80-84세,174,12,11,31,50,13,1,12,5,2
서울,종로구,일반,남자,85세이상,225,12,23,64,53,17,4,8,3,2
서울,종로구,일반,여자,65세미만,29,2,1,6,3,0,0,2,4,3
서울,종로구,일반,여자,65-69세,50,3,2,5,12,1,0,5,1,1
서울,종로구,일반,여자,70-74세,108,6,5,7,22,3,2,13,7,0
서울,종로구,일반,여자,75-79세,213,8,9,26,59,17,3,20,8,1
서울,종로구,일반,여자,80-84세,406,24,19,81,106,25,9,33,12,3
서울,종로구,일반,여자,85세이상,565,63,77,146,150,41,8,19,8,1
서울,종로구,기초,남자,65세미만,21,1,0,2,8,2,0,0,1,1
서울,종로구,기초,남자,65-69세,18,0,2,0,4,0,0,3,2,0
서울,종로구,기초,남자,70-74세,17,1,0,1,3,0,0,4,2,0
서울,종로구,기초,남자,75-79세,20,1,1,2,3,1,0,1,3,0
서울,종로구,기초,남자,80-84세,21,1,1,2,4,1,1,2,2,0
서울,종로구,기초,남자,85세이상,16,0,0,0,8,0,0,2,1,1
서울,종로구,기초,여자,65세미만,7,0,1,0,4,0,0,0,0,0
서울,종로구,기초,여자,65-69세,14,0,1,2,2,0,0,1,1,0
서울,종로구,기초,여자,70-74세,24,2,0,0,9,0,0,1,3,0
서울,종로구,기초,여자,75-79세,46,0,1,4,13,2,1,4,2,1
서울,종로구,기초,여자,80-84세,54,2,6,8,17,3,1,5,2,0
서울,종로구,기초,여자,85세이상,97,8,13,15,27,3,0,4,1,0
서울,종로구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,80-84세,3,0,0,0,1,0,0,0,0,0
