행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수
1111051500,청운효자동,종로구,종로구,2023,11605,2144,18.47,641.0,448.0,29.9,0.0,8,0.961,5.523,2144.0,0.42,1.27,302.5422,1.6497
1111053000,사직동,종로구,종로구,2023,9120,1808,19.82,556.0,1822.0,30.75,2.0,8,0.961,6.095,602.67,1.04,1.2917,212.3085,1.6889
1111054000,삼청동,종로구,종로구,2023,2322,589,25.37,193.0,167.0,32.77,1.0,8,0.961,8.314,294.5,0.67,1.2786,75.3095,1.6976
1111055000,부암동,종로구,종로구,2023,9178,1825,19.88,458.0,331.0,25.1,0.0,8,0.961,4.99,1825.0,0.94,1.2637,256.2503,1.5809
1111056000,평창동,종로구,종로구,2023,17602,3510,19.94,834.0,649.0,23.76,1.0,8,0.961,4.738,1755.0,0.94,1.2657,444.2607,1.5664
1111057000,무악동,종로구,종로구,2023,8019,1483,18.49,436.0,236.0,29.4,1.0,8,0.961,5.436,741.5,0.96,1.2558,186.2351,1.625
1111058000,교남동,종로구,종로구,2023,9783,1649,16.86,577.0,346.0,34.99,2.0,8,0.961,5.899,549.67,0.58,1.2475,187.0116,1.684
1111060000,가회동,종로구,종로구,2023,3969,842,21.21,251.0,196.0,29.81,0.0,8,0.961,6.323,842.0,-0.03,1.2702,118.8343,1.6488
1111061500,종로1.2.3.4가동,종로구,종로구,2023,6760,1733,25.64,1489.0,949.0,85.92,3.0,8,0.961,22.03,433.25,-1.02,1.2404,179.1344,2.3062
1111063000,종로5.6가동,종로구,종로구,2023,5396,1066,19.76,616.0,401.0,57.79,0.0,8,0.961,11.419,1066.0,-0.94,1.2491,147.949,1.971
1111064000,이화동,종로구,종로구,2023,7096,1353,19.07,601.0,353.0,44.42,3.0,8,0.961,8.471,338.25,0.3,1.2655,142.6851,1.8276
1111065000,혜화동,종로구,종로구,2023,16197,2675,16.52,846.0,600.0,31.63,0.0,8,0.961,5.225,2675.0,0.02,1.2774,379.6717,1.6814
1111067000,창신제1동,종로구,종로구,2023,4637,1180,25.45,813.0,497.0,68.9,1.0,8,0.961,17.535,590.0,0.15,1.2356,145.8008,2.0869
1111068000,창신제2동,종로구,종로구,2023,7682,1833,23.86,951.0,471.0,51.88,0.0,8,0.961,12.379,1833.0,1.84,1.2398,252.5059,1.883
1111069000,창신제3동,종로구,종로구,2023,6459,1269,19.65,404.0,227.0,31.84,0.0,8,0.961,6.257,1269.0,1.19,1.2511,176.4051,1.6495
1111070000,숭인제1동,종로구,종로구,2023,5783,1215,21.01,558.0,409.0,45.93,0.0,8,0.961,9.65,1215.0,0.77,1.2458,168.183,1.818
1111071000,숭인제2동,종로구,종로구,2023,9825,1704,17.34,954.0,566.0,55.99,1.0,8,0.961,9.709,852.0,0.27,1.2293,209.4727,1.9176
1114052000,소공동,중구,중구,2023,2228,261,11.71,87.0,62.0,33.33,1.0,2,1.0,3.903,130.5,0.6,1.2195,79.5724,1.626
1114054000,회현동,중구,중구,2023,4506,1267,28.12,553.0,480.0,43.65,0.0,2,1.0,12.274,1267.0,0.41,1.245,525.805,1.7884
1114055000,명동,중구,중구,2023,2728,730,26.76,199.0,167.0,27.26,4.0,2,1.0,7.295,146.0,1.49,1.2502,130.378,1.591
1114057000,필동,중구,중구,2023,3938,872,22.14,316.0,244.0,36.24,1.0,2,1.0,8.024,436.0,-0.27,1.2707,277.0126,1.7312
1114058000,장충동,중구,중구,2023,4577,851,18.59,271.0,178.0,31.84,0.0,2,1.0,5.919,851.0,-0.11,1.2618,357.9306,1.6636
