행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1111051500,청운효자동,종로구,종로구,2023,11605,2144,448.0,18.47,0.42,29.9,20.81,11.99,2144.0,0.961,8.0,302.5422,35.82
1111053000,사직동,종로구,종로구,2023,9120,1808,1822.0,19.82,1.04,30.75,18.21,15.16,602.67,0.961,8.0,212.3085,-24.336
1111054000,삼청동,종로구,종로구,2023,2322,589,167.0,25.37,0.67,32.77,18.37,14.29,294.5,0.961,8.0,75.3095,14.47
1111055000,부암동,종로구,종로구,2023,9178,1825,331.0,19.88,0.94,25.1,19.47,12.18,1825.0,0.961,8.0,256.2503,32.48
1111056000,평창동,종로구,종로구,2023,17602,3510,649.0,19.94,0.94,23.76,17.58,13.1,1755.0,0.961,8.0,444.2607,25.08
1111057000,무악동,종로구,종로구,2023,8019,1483,236.0,18.49,0.96,29.4,17.43,10.2,741.5,0.961,8.0,186.2351,61.38
1111058000,교남동,종로구,종로구,2023,9783,1649,346.0,16.86,0.58,34.99,18.19,9.76,549.67,0.961,8.0,187.0116,51.14
1111060000,가회동,종로구,종로구,2023,3969,842,196.0,21.21,-0.03,29.81,22.33,12.0,842.0,0.961,8.0,118.8343,24.73
1111061500,종로1.2.3.4가동,종로구,종로구,2023,6760,1733,949.0,25.64,-1.02,85.92,18.76,8.89,433.25,0.961,8.0,179.1344,45.05
1111063000,종로5.6가동,종로구,종로구,2023,5396,1066,401.0,19.76,-0.94,57.79,21.67,9.19,1066.0,0.961,8.0,147.949,42.93
1111064000,이화동,종로구,종로구,2023,7096,1353,353.0,19.07,0.3,44.42,18.18,11.9,338.25,0.961,8.0,142.6851,53.21
1111065000,혜화동,종로구,종로구,2023,16197,2675,600.0,16.52,0.02,31.63,20.35,12.76,2675.0,0.961,8.0,379.6717,34.36
1111067000,창신제1동,종로구,종로구,2023,4637,1180,497.0,25.45,0.15,68.9,17.37,7.97,590.0,0.961,8.0,145.8008,49.21
1111068000,창신제2동,종로구,종로구,2023,7682,1833,471.0,23.86,1.84,51.88,18.17,9.0,1833.0,0.961,8.0,252.5059,70.27
1111069000,창신제3동,종로구,종로구,2023,6459,1269,227.0,19.65,1.19,31.84,17.57,10.32,1269.0,0.961,8.0,176.4051,57.65
1111070000,숭인제1동,종로구,종로구,2023,5783,1215,409.0,21.01,0.77,45.93,17.86,9.38,1215.0,0.961,8.0,168.183,31.06
1111071000,숭인제2동,종로구,종로구,2023,9825,1704,566.0,17.34,0.27,55.99,17.66,7.39,852.0,0.961,8.0,209.4727,52.21
1114052000,소공동,중구,중구,2023,2228,261,62.0,11.71,0.6,33.33,16.09,7.66,130.5,1.0,2.0,79.5724,33.88
1114054000,회현동,중구,중구,2023,4506,1267,480.0,28.12,0.41,43.65,17.31,10.67,1267.0,1.0,2.0,525.805,14.16
1114055000,명동,중구,중구,2023,2728,730,167.0,26.76,1.49,27.26,17.67,10.41,146.0,1.0,2.0,130.378,17.53
1114057000,필동,중구,중구,2023,3938,872,244.0,22.14,-0.27,36.24,14.79,13.07,436.0,1.0,2.0,277.0126,25.86
1114058000,장충동,중구,중구,2023,4577,851,178.0,18.59,-0.11,31.84,18.45,11.16,851.0,1.0,2.0,357.9306,42.03
1114059000,광희동,중구,중구,2023,5429,1106,364.0,20.37,-0.61,42.95,19.35,8.32,368.67,1.0,2.0,273.2705,26.62
1114060500,을지로동,중구,중구,2023,1674,454,225.0,27.12,1.05,64.32,17.62,8.15,227.0,1.0,2.0,139.3099,26.07
1114061500,신당동,중구,중구,2023,7607,1479,442.0,19.44,0.53,43.0,19.68,9.6,739.5,1.0,2.0,460.4497,36.39
1114062500,다산동,중구,중구,2023,13486,2835,567.0,21.02,0.9,26.98,18.64,9.42,708.75,1.0,2.0,589.68,29.95
1114063500,약수동,중구,중구,2023,16347,4009,867.0,24.52,1.48,30.03,17.65,12.58,4009.0,1.0,2.0,1691.5307,32.84
1114064500,청구동,중구,중구,2023,13149,2836,635.0,21.57,1.26,30.61,18.28,11.4,2836.0,1.0,2.0,1191.6872,31.26
1114065000,신당제5동,중구,중구,2023,10127,1877,428.0,18.53,0.89,32.98,20.96,8.96,1877.0,1.0,2.0,777.3908,36.9
1114066500,동화동,중구,중구,2023,10033,1960,270.0,19.54,0.85,18.06,17.55,11.99,980.0,1.0,2.0,618.919,27.09
1114067000,황학동,중구,중구,2023,12739,2047,529.0,16.07,0.03,34.2,18.52,8.94,1023.5,1.0,2.0,632.3183,28.01
1114068000,중림동,중구,중구,2023,11987,2202,477.0,18.37,1.1,29.43,19.11,10.87,2202.0,1.0,2.0,918.1606,30.64
1117051000,후암동,용산구,용산구,2023,16294,2994,768.0,18.37,0.47,31.86,17.79,11.67,2994.0,0.983,2.0,1253.488,21.69
1117052000,용산2가동,용산구,용산구,2023,9043,2017,490.0,22.3,0.94,28.41,18.44,12.25,2017.0,0.983,2.0,849.9638,15.65
1117053000,남영동,용산구,용산구,2023,7075,1549,785.0,21.89,1.04,62.56,15.51,7.5,1549.0,0.983,2.0,631.2691,21.06
1117055500,청파동,용산구,용산구,2023,19080,3240,815.0,16.98,0.07,32.87,18.93,9.88,1620.0,0.983,2.0,1010.799,26.75
1117056000,원효로제1동,용산구,용산구,2023,17161,2063,426.0,12.02,-0.25,25.06,16.21,9.56,2063.0,0.983,2.0,850.9187,19.36
1117057000,원효로제2동,용산구,용산구,2023,13695,2349,486.0,17.15,0.27,24.27,18.07,12.4,2349.0,0.983,2.0,987.8328,15.94
1117058000,효창동,용산구,용산구,2023,10743,1573,218.0,14.64,-0.28,20.41,18.69,11.06,1573.0,0.983,2.0,661.3416,38.69
1117059000,용문동,용산구,용산구,2023,11493,2178,382.0,18.95,0.76,24.43,18.98,8.55,2178.0,0.983,2.0,900.966,33.12
1117062500,한강로동,용산구,용산구,2023,21127,3145,726.0,14.89,0.21,25.63,16.64,11.68,1572.5,0.983,2.0,986.8224,10.45
1117063000,이촌제1동,용산구,용산구,2023,25022,4311,687.0,17.23,0.45,17.3,17.41,15.21,2155.5,0.983,2.0,1388.0342,8.24
1117064000,이촌제2동,용산구,용산구,2023,8003,1787,367.0,22.33,0.54,23.89,16.84,11.86,1787.0,0.983,2.0,749.0508,15.14
1117065000,이태원제1동,용산구,용산구,2023,6124,1317,327.0,21.51,0.44,28.47,18.98,13.14,658.5,0.983,2.0,418.5426,13.7
1117066000,이태원제2동,용산구,용산구,2023,8685,1824,428.0,21.0,0.89,28.12,18.87,11.85,1824.0,0.983,2.0,772.768,18.12
1117068500,한남동,용산구,용산구,2023,19398,3595,823.0,18.53,0.21,23.81,17.58,9.96,1797.5,0.983,2.0,1121.0109,3.93
1117069000,서빙고동,용산구,용산구,2023,12540,2130,425.0,16.99,0.71,22.68,14.65,17.94,2130.0,0.983,2.0,925.272,12.79
1117070000,보광동,용산구,용산구,2023,12692,2657,687.0,20.93,0.9,29.77,18.4,10.31,2657.0,0.983,2.0,1108.1461,14.1
1120052000,왕십리제2동,성동구,성동구,2023,16299,2659,631.0,16.31,0.65,25.95,17.6,8.95,2659.0,0.909,4.0,657.943,8.94
1120053500,왕십리도선동,성동구,성동구,2023,26401,3952,869.0,14.97,0.5,25.35,17.26,10.1,790.4,0.909,4.0,547.8789,14.24
1120054000,마장동,성동구,성동구,2023,22014,4067,816.0,18.47,0.74,26.31,18.32,9.47,4067.0,0.909,4.0,1011.6256,27.1
1120055000,사근동,성동구,성동구,2023,12000,1524,331.0,12.7,-0.07,26.64,21.72,9.32,762.0,0.909,4.0,318.4906,20.42
1120056000,행당제1동,성동구,성동구,2023,13700,2206,581.0,16.1,0.59,22.67,19.45,9.45,551.5,0.909,4.0,342.5091,-15.01
1120057000,행당제2동,성동구,성동구,2023,22975,4037,706.0,17.57,0.93,22.99,19.68,9.12,4037.0,0.909,4.0,1002.7908,27.34
1120058000,응봉동,성동구,성동구,2023,14997,2548,466.0,16.99,0.2,20.05,20.05,10.16,2548.0,0.909,4.0,638.3759,9.22
1120059000,금호1가동,성동구,성동구,2023,15006,2765,577.0,18.43,0.91,27.45,17.44,9.88,2765.0,0.909,4.0,687.5449,27.42
1120061500,금호2.3가동,성동구,성동구,2023,22202,4016,852.0,18.09,0.88,23.58,18.7,8.88,2008.0,0.909,4.0,829.9733,10.57
1120062000,금호4가동,성동구,성동구,2023,14177,2537,512.0,17.9,0.99,27.36,18.97,9.7,2537.0,0.909,4.0,629.9371,30.41
1120064500,옥수동,성동구,성동구,2023,25534,4325,698.0,16.94,1.05,19.68,18.09,10.22,4325.0,0.909,4.0,1076.925,19.82
1120065000,성수1가제1동,성동구,성동구,2023,15904,2391,489.0,15.03,1.05,25.22,16.83,8.12,2391.0,0.909,4.0,585.8906,20.96
