"동별","독거노인별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","합계","계","","202980","211226","238551","253302","273190","281068","288599","303824","328271","343567","366134","392351","422776","448251","494926",
"서울특별시","합계","65~79세","","156176","162819","179085","189733","212779","212295","218270","227093","241760","255395","275574","291042","310466","320570","356556",
"서울특별시","합계","80세 이상","","46804","48407","59466","63569","60411","68773","70329","76731","86511","88172","90560","101309","112310","127681","138370",
"서울특별시","국민기초생활보장 수급권자","계","","34337","37739","40161","44015","46806","49122","51528","59772","62917","80376","92446","110183","122508","129275","142005",
"서울특별시","국민기초생활보장 수급권자","65~79세","","24348","26976","28656","31512","34826","35850","37110","44654","44164","56572","64798","76181","83607","87834","96231",
"서울특별시","국민기초생활보장 수급권자","80세 이상","","9989","10763","11505","12503","11980","13272","14418","15118","18753","23804","27648","34002","38901","41441","45774",
"서울특별시","저소득노인","계","","26739","19273","26067","20934","33382","15534","16104","18664","24225","20131","19535","14471","13645","12775","15543",
"서울특별시","저소득노인","65~79세","","20566","14088","18868","15099","25077","10337","10373","11693","15477","11772","11629","8250","8068","7236","8916",
"서울특별시","저소득노인","80세 이상","","6173","5185","7199","5835","8305","5197","5731","6971","8748","8359","7906","6221","5577","5539","6627",
"서울특별시","일   반","계","","141904","154214","172323","188353","193002","216412","220967","225388","241129","243060","254153","267697","286623","306201","337378",
"서울특별시","일   반","65~79세","","111262","121755","131561","143122","152876","166108","170787","170746","182119","187051","199147","206611","218791","225500","251409",
"서울특별시","일   반","80세 이상","","30642","32459","40762","45231","40126","50304","50180","54642","59010","56009","55006","61086","67832","80701","85969",
"종로구","합계","계","","6009","5865","6254","5845","7604","7044","7074","7394","8668","9149","9648","8573","8998","11178","9076",
"종로구","합계","65~79세","","4655","4518","4794","4572","5859","5346","4921","5476","6164","6653","6814","6219","6372","7784","6296",
"종로구","합계","80세 이상","","1354","1347","1460","1273","1745","1698","2153","1918","2504","2496","2834","2354","2626","3394","2780",
"종로구","국민기초생활보장 수급권자","계","","888","911","1270","1064","1075","1039","1189","1256","1302","1445","1663","1839","2000","2231","2363",
"종로구","국민기초생활보장 수급권자","65~79세","","697","688","982","825","843","816","861","965","967","1099","1260","1356","1438","1581","1711",
"종로구","국민기초생활보장 수급권자","80세 이상","","191","223","288","239","232","223","328","291","335","346","403","483","562","650","652",
"종로구","저소득노인","계","","182","268","213","177","282","237","277","344","389","528","377","337","349","403","371",
"종로구","저소득노인","65~79세","","131","196","151","136","206","155","158","199","201","323","220","197","208","216","214",
"종로구","저소득노인","80세 이상","","51","72","62","41","76","82","119","145","188","205","157","140","141","187","157",
"종로구","일   반","계","","4939","4686","4771","4604","6247","5768","5608","5794","6977","7176","7608","6397","6649","8544","6342",
"종로구","일   반","65~79세","","3827","3634","3661","3611","4810","4375","3902","4312","4996","5231","5334","4666","4726","5987","4371",
"종로구","일   반","80세 이상","","1112","1052","1110","993","1437","1393","1706","1482","1981","1945","2274","1731","1923","2557","1971",
"사직동","합계","계","","","","","","473","355","383","363","1822","439","590","490","513","556","510",
"사직동","합계","65~79세","","","","","","357","270","279","253","1285","284","393","320","329","354","317",
"사직동","합계","80세 이상","","","","","","116","85","104","110","537","155","197","170","184","202","193",
"사직동","국민기초생활보장 수급권자","계","","","","","","37","36","38","41","59","59","52","60","56","54","69",
"사직동","국민기초생활보장 수급권자","65~79세","","","","","","25","23","24","30","33","33","32","41","39","35","41",
"사직동","국민기초생활보장 수급권자","80세 이상","","","","","","12","13","14","11","26","26","20","19","17","19","28",
"사직동","저소득노인","계","","","","","","11","14","12","11","7","20","18","10","10","14","21",
"사직동","저소득노인","65~79세","","","","","","11","13","8","9","3","15","11","6","6","5","21",
"사직동","저소득노인","80세 이상","","","","","","0","1","4","2","4","5","7","4","4","9","-",
"사직동","일   반","계","","","","","","425","305","333","311","1756","360","520","420","447","488","420",
"사직동","일   반","65~79세","","","","","","321","234","247","214","1249","236","350","273","284","314","255",
"사직동","일   반","80세 이상","","","","","","104","71","86","97","507","124","170","147","163","174","165",
"삼청동","합계","계","","","","","","210","156","156","154","167","167","240","189","213","193","177",
"삼청동","합계","65~79세","","","","","","145","113","113","105","112","109","159","126","146","121","115",
"삼청동","합계","80세 이상","","","","","","65","43","43","49","55","58","81","63","67","72","62",
"삼청동","국민기초생활보장 수급권자","계","","","","","","22","17","17","14","14","13","16","17","19","17","20",
"삼청동","국민기초생활보장 수급권자","65~79세","","","","","","13","13","12","12","9","10","12","12","14","12","12",
"삼청동","국민기초생활보장 수급권자","80세 이상","","","","","","9","4","5","2","5","3","4","5","5","5","8",
"삼청동","저소득노인","계","","","","","","8","5","4","4","3","5","3","6","4","10","6",
"삼청동","저소득노인","65~79세","","","","","","5","3","3","2","2","1","0","1","3","2","1",
"삼청동","저소득노인","80세 이상","","","","","","3","2","1","2","1","4","3","5","1","8","5",
"삼청동","일   반","계","","","","","","180","134","135","136","150","149","221","166","190","166","151",
"삼청동","일   반","65~79세","","","","","","127","97","98","91","101","98","147","113","129","107","102",
"삼청동","일   반","80세 이상","","","","","","53","37","37","45","49","51","74","53","61","59","49",
"부암동","합계","계","","","","","","398","348","319","315","331","346","489","418","459","458","438",
"부암동","합계","65~79세","","","","","","312","266","238","232","244","221","342","293","315","295","298",
"부암동","합계","80세 이상","","","","","","86","82","81","83","87","125","147","125","144","163","140",
"부암동","국민기초생활보장 수급권자","계","","","","","","28","30","46","35","37","37","44","61","58","44","56",
"부암동","국민기초생활보장 수급권자","65~79세","","","","","","23","23","37","28","30","22","34","40","38","24","32",
"부암동","국민기초생활보장 수급권자","80세 이상","","","","","","5","7","9","7","7","15","10","21","20","20","24",
"부암동","저소득노인","계","","","","","","9","9","15","17","13","12","8","20","16","12","14",
"부암동","저소득노인","65~79세","","","","","","7","5","9","9","8","6","6","13","10","3","5",
"부암동","저소득노인","80세 이상","","","","","","2","4","6","8","5","6","2","7","6","9","9",
"부암동","일   반","계","","","","","","361","309","258","263","281","297","437","337","385","402","368",
"부암동","일   반","65~79세","","","","","","282","238","192","195","206","193","302","240","267","268","261",
"부암동","일   반","80세 이상","","","","","","79","71","66","68","75","104","135","97","118","134","107",
"평창동","합계","계","","","","","","658","606","615","637","649","640","754","703","794","834","799",
"평창동","합계","65~79세","","","","","","432","234","164","389","438","397","478","456","508","522","476",
"평창동","합계","80세 이상","","","","","","226","372","451","248","211","243","276","247","286","312","323",
"평창동","국민기초생활보장 수급권자","계","","","","","","40","28","45","35","59","45","44","48","56","59","61",
"평창동","국민기초생활보장 수급권자","65~79세","","","","","","38","22","6","26","35","31","29","31","35","37","37",
"평창동","국민기초생활보장 수급권자","80세 이상","","","","","","2","6","39","9","24","14","15","17","21","22","24",
"평창동","저소득노인","계","","","","","","10","16","15","27","23","26","15","22","22","35","31",
"평창동","저소득노인","65~79세","","","","","","7","9","1","17","11","11","7","10","12","17","17",
"평창동","저소득노인","80세 이상","","","","","","3","7","14","10","12","15","8","12","10","18","14",
"평창동","일   반","계","","","","","","608","562","555","575","567","569","695","633","716","740","707",
"평창동","일   반","65~79세","","","","","","387","203","157","346","392","355","442","415","461","468","422",
"평창동","일   반","80세 이상","","","","","","221","359","398","229","175","214","253","218","255","272","285",
"무악동","합계","계","","","","","","337","211","205","231","236","265","334","291","327","436","340",
"무악동","합계","65~79세","","","","","","238","156","151","179","176","189","236","208","214","257","214",
"무악동","합계","80세 이상","","","","","","99","55","54","52","60","76","98","83","113","179","126",
"무악동","국민기초생활보장 수급권자","계","","","","","","52","37","42","41","52","57","62","59","88","81","103",
"무악동","국민기초생활보장 수급권자","65~79세","","","","","","39","26","27","29","36","39","37","35","55","43","74",
"무악동","국민기초생활보장 수급권자","80세 이상","","","","","","13","11","15","12","16","18","25","24","33","38","29",
"무악동","저소득노인","계","","","","","","25","2","21","18","14","17","11","11","20","32","9",
"무악동","저소득노인","65~79세","","","","","","19","1","13","11","9","8","7","5","6","14","2",
"무악동","저소득노인","80세 이상","","","","","","6","1","8","7","5","9","4","6","14","18","7",
"무악동","일   반","계","","","","","","260","172","142","172","170","191","261","221","219","323","228",
"무악동","일   반","65~79세","","","","","","180","129","111","139","131","142","192","168","153","200","138",
"무악동","일   반","80세 이상","","","","","","80","43","31","33","39","49","69","53","66","123","90",
"교남동","합계","계","","","","","","291","530","253","324","346","1650","503","414","444","577","449",
"교남동","합계","65~79세","","","","","","230","416","203","247","104","1259","362","306","314","385","315",
"교남동","합계","80세 이상","","","","","","61","114","50","77","242","391","141","108","130","192","134",
"교남동","국민기초생활보장 수급권자","계","","","","","","35","47","45","53","53","68","89","79","55","119","106",
"교남동","국민기초생활보장 수급권자","65~79세","","","","","","27","36","34","41","25","50","63","49","31","66","58",
"교남동","국민기초생활보장 수급권자","80세 이상","","","","","","8","11","11","12","28","18","26","30","24","53","48",
"교남동","저소득노인","계","","","","","","15","16","13","20","32","25","49","14","18","28","52",
"교남동","저소득노인","65~79세","","","","","","9","10","10","9","3","16","31","4","9","17","34",
"교남동","저소득노인","80세 이상","","","","","","6","6","3","11","29","9","18","10","9","11","18",
"교남동","일   반","계","","","","","","241","467","195","251","261","1557","365","321","371","430","291",
"교남동","일   반","65~79세","","","","","","194","370","159","197","76","1193","268","253","274","302","223",
"교남동","일   반","80세 이상","","","","","","47","97","36","54","185","364","97","68","97","128","68",
"청운효자동","합계","계","","","","","","548","437","429","440","448","476","604","514","549","641","536",
"청운효자동","합계","65~79세","","","","","","401","306","297","306","269","313","389","344","352","392","342",
"청운효자동","합계","80세 이상","","","","","","147","131","132","134","179","163","215","170","197","249","194",
"청운효자동","국민기초생활보장 수급권자","계","","","","","","51","50","54","52","52","53","55","71","72","98","88",
"청운효자동","국민기초생활보장 수급권자","65~79세","","","","","","32","32","37","31","22","27","28","35","29","51","46",
"청운효자동","국민기초생활보장 수급권자","80세 이상","","","","","","19","18","17","21","30","26","27","36","43","47","42",
"청운효자동","저소득노인","계","","","","","","11","24","24","28","32","32","34","23","23","34","43",
"청운효자동","저소득노인","65~79세","","","","","","8","12","8","10","13","13","14","10","11","15","18",
"청운효자동","저소득노인","80세 이상","","","","","","3","12","16","18","19","19","20","13","12","19","25",
"청운효자동","일   반","계","","","","","","486","363","351","360","364","391","515","420","454","509","405",
"청운효자동","일   반","65~79세","","","","","","361","262","252","265","234","273","347","299","312","326","278",
"청운효자동","일   반","80세 이상","","","","","","125","101","99","95","130","118","168","121","142","183","127",
"가회동","합계","계","","","","","","261","201","196","197","196","216","296","243","248","251","247",
